EDGE_Cred,Scheduling Policy,DNN,Batch size,Number of tiles,EDGE DSEs,SERVER DSEs,BWs,SERVER Time,EDGE Time
nxc@192.168.1.25,dynamic,vgg16,1,100,8,4,20,0.332242,0.311140
nxc@192.168.1.25,sequential,vgg16,1,100,8,4,20,0.293822,0.293831
nxc@192.168.1.25,conventional,vgg16,1,100,8,4,20,0.364259,0.400292
nxc@192.168.1.25,dynamic,vgg16,1,100,8,4,5,0.580415,0.325462
nxc@192.168.1.25,sequential,vgg16,1,100,8,4,5,1.046652,1.046820
nxc@192.168.1.25,conventional,vgg16,1,100,8,4,5,1.122467,1.192695
nxc@192.168.1.25,dynamic,vgg16,1,100,8,16,70,0.098287,0.102539
nxc@192.168.1.25,sequential,vgg16,1,100,8,16,70,0.101284,0.100862
nxc@192.168.1.25,conventional,vgg16,1,100,8,16,70,0.131257,0.130869
nxc@192.168.1.25,dynamic,vgg16,1,100,8,16,50,0.131571,0.135957
nxc@192.168.1.25,sequential,vgg16,1,100,8,16,50,0.126635,0.125812
nxc@192.168.1.25,conventional,vgg16,1,100,8,16,50,0.160475,0.160969
nxc@192.168.1.25,dynamic,vgg16,1,100,8,16,20,0.329020,0.305802
nxc@192.168.1.25,sequential,vgg16,1,100,8,16,20,0.276166,0.275749
nxc@192.168.1.25,conventional,vgg16,1,100,8,16,20,0.312650,0.313643
nxc@192.168.1.25,dynamic,vgg16,1,100,8,16,5,0.585017,0.321582
nxc@192.168.1.25,sequential,vgg16,1,100,8,16,5,1.032512,1.032186
nxc@192.168.1.25,conventional,vgg16,1,100,8,16,5,1.064211,1.064241
nxc@192.168.1.25,dynamic,vgg16,1,100,8,32,70,0.090141,0.104941
nxc@192.168.1.25,sequential,vgg16,1,100,8,32,70,0.099171,0.098898
nxc@192.168.1.25,conventional,vgg16,1,100,8,32,70,0.114387,0.113308
nxc@192.168.1.25,dynamic,vgg16,1,100,8,32,50,0.130505,0.135870
nxc@192.168.1.25,sequential,vgg16,1,100,8,32,50,0.124412,0.123980
nxc@192.168.1.25,conventional,vgg16,1,100,8,32,50,0.143828,0.143878
nxc@192.168.1.25,dynamic,vgg16,1,100,8,32,20,0.000000,0.000000
